TBCA Oxota,OOH Oxota,Buy m.o. Oxota,Trial Oxota,Unaided Oxota,Consider T1 Oxota,OOH freq,Instore freq,Bar freq,Volume,Media coverage,WOM +ve,WOM =,Experience +ve,Experience =
1,1,0,1,0,1,136.014,3,0,4.5,1,0,0,1,0
0,0,0,0,0,0,86.625,1,0,1.5,0,0,0,0,0
0,0,1,1,1,1,1675.968,2,0,2.5,0,0,0,1,0
1,0,0,1,1,0,0,6,0,10,0,0,0,1,0
1,0,0,0,0,0,2871.024,2.6,0,1.5,0,0,0,0,0
0,0,1,1,1,1,0,2.95,0,1.5,0,0,0,1,0
1,0,0,1,1,0,5781.75,6,1,1.5,0,0,0,1,0
0,0,1,1,1,1,651.894,2,0,7.5,0,0,0,1,0
1,0,1,1,1,1,1201.284,4,0,1.5,1,1,0,1,0
1,0,1,1,0,1,206.64,4.25,0,4.5,0,0,0,1,0
0,0,1,1,0,0,24.75,0.1,0,1.5,0,0,0,0,1
1,1,0,1,0,0,141.084,7.35,0,4,0,0,0,1,0
0,0,0,1,0,0,136.998,1,0,4.5,0,0,0,0,0
0,0,0,1,0,0,149.2545,3.5,0,4.5,0,0,0,0,1
1,0,0,1,1,1,0,0.65,0,0.5,0,0,0,1,0
1,0,0,1,0,0,326.34,3,0,6,0,0,0,1,0
0,0,0,0,0,0,1847.235,4,0,4.5,0,0,0,0,0
1,0,0,1,1,0,969.36,0.5,0,2.5,0,0,1,1,0
0,0,0,1,1,0,284.172,3.125,0,1.5,0,0,0,1,0
1,0,0,1,1,0,91.812,1.25,0,1.5,0,0,0,0,1
0,0,0,1,1,0,0,1.5,0,4,0,0,0,0,0
1,0,1,1,0,1,440.928,7,0,5,0,0,0,1,0
1,0,0,1,0,0,330.8451429,8,0,6,0,0,0,1,0
0,0,0,1,1,0,68.922,3,0,4,0,0,0,0,1
0,0,0,0,1,0,366.3,2.5,0,2.5,0,0,0,0,0
1,1,0,1,1,0,0,2,0,2.5,0,0,0,1,0
0,0,0,0,0,0,228.798,0.5,2,0.5,0,0,0,0,0
1,0,0,1,1,1,825.1688571,2.6,0,4,0,0,1,0,1
0,0,0,1,1,0,0,2.5,0,2.5,0,0,1,0,1
0,0,0,1,1,0,1350,1,0,4,0,1,0,1,0
1,0,0,1,1,0,68.901,1.425,0,4,0,0,0,0,1
1,0,0,1,0,0,2258.061,5.5,6,7,0,0,1,0,1
1,0,0,1,0,0,102.06,0.1,0,1.5,0,0,0,0,1
1,0,0,1,0,0,163.2214286,2.2,0,2.5,0,0,0,0,0
0,0,0,1,1,0,446.46,1,0,2.5,0,0,1,0,1
1,0,0,1,1,0,158.175,5,0,4,0,0,0,1,0
1,0,0,1,1,0,597.555,4.5,0,0.5,0,0,0,0,1
1,1,1,1,1,1,0,4.6,0,4,0,1,0,1,0
1,1,1,1,1,1,0,6.7,0,2.5,0,0,1,1,0
1,1,0,1,1,0,194.718,6,0,8,0,0,0,0,1
1,1,1,1,1,1,0,1.4,0,4,0,1,0,1,0
1,0,1,1,1,1,2760.096,7,1,10,0,1,0,1,0
0,0,1,1,1,1,14.769,7,0,10,0,0,0,1,0
0,0,0,1,1,0,104.7792857,8,0,10,0,0,0,0,1
1,0,0,1,1,0,0,6,0,8.5,0,0,0,0,1
1,1,0,1,0,0,0,2.2,0,1.5,1,0,0,0,0
1,0,0,0,0,0,1274.946,2.5,0,6,0,0,0,0,0
1,0,1,1,0,0,1.563428571,3.5,8,0.5,0,0,0,1,0
0,0,0,1,0,0,29.184,3.5,0,9.5,0,0,0,0,1
1,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0
1,0,0,0,0,0,614.652,0.1,0,7.5,0,0,1,0,1
0,0,0,0,0,0,12.89357143,0.5,0,1.5,0,0,0,0,0
1,0,0,1,0,0,1104.144,7.1,0,1.5,0,0,0,0,1
1,1,1,1,1,1,901.374,5,0,4.5,0,0,0,1,0
1,0,1,1,1,1,875.976,3,0,7,0,1,0,1,0
